Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_A1.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_A2.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_A3.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_B1.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_B2.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_B3.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_C1.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_C2.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_C3.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_D1.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_D2.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_D3.raw
O14678	O14678	ABCD4_HUMAN	ABCD4	Lysosomal cobalamin transporter ABCD4				2978.33	3058.03							
O14681	O14681	EI24_HUMAN	EI24	Etoposide-induced protein 2.4 homolog	13533.3	9182.07	13411.8	16486.3	25257.7	15774.3	6552	8118.73	4559.31			
O14683	O14683	P5I11_HUMAN	TP53I11	Tumor protein p53-inducible protein 11	34020.9	37678.6	38689.5	48197.9	55802	59648.8	20918.1	24591.2	20542.7	11965.3	11997.5	9672.41
O14684	O14684	PTGES_HUMAN	PTGES	Prostaglandin E synthase	28083.4	27091.5	29581.8		21836.3	22527.3	12846.6	11925.2				
O14686	O14686	KMT2D_HUMAN	KMT2D	Histone-lysine N-methyltransferase 2D	2638.99		3531.35		2300.94			1918.14				
O14734	O14734	ACOT8_HUMAN	ACOT8	Acyl-coenzyme A thioesterase 8	20500.2	23300	20220.5	22064.4	21381	18550.7	7229.88	9992.22	6460.64	2652.32		3443.73
O14737	O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	149533	151342	93089.7	104031	97068.9	67016.1	46482.7	50437.3	39305	20249.1	19171.6	30709.7
O14744	O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	69163.6	63783.3	68455.5	68252.2	61194.4	62581.8	40674.9	33815.2	30390.8	35318.3	21696.2	25560.5
O14745	O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	54943	66432.4	61203.4	52088.2	57010.7	50510.7	20822.6	22043	26769.7	11120.9	7735.73	12405.5
O14756;O75452	O75452;O14756	H17B6_HUMAN;RDH16_HUMAN	HSD17B6;RDH16	17-beta-hydroxysteroid dehydrogenase type 6		6384.25	4193.92		7931.73	2753.72						
O14763	O14763	TR10B_HUMAN	TNFRSF10B	Tumor necrosis factor receptor superfamily member 10B	1358.54	1982.03	2768.24		1720.73							
O14776	O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	63361.3	53350.5	70990.9	60423.9	58842.2	57336.1	29929.3	21039.9	28415.6	14735.2	15010.2	14636.6
O14786	O14786	NRP1_HUMAN	NRP1	Neuropilin-1	25409.7	31380.5	16760.1	22086.4	25789	25036.8	9923.52	14427.1	11096.9	6798.11	7409.53	5701.24
O14788	O14788	TNF11_HUMAN	TNFSF11	Tumor necrosis factor ligand superfamily member 11	37187.5	20521.7	6162.83	52195.9	46643.6	45812.2	56140.5	55758.9	46266.3	55083	43918.3	
O14791	O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1		11325.3	3471.74	5676.44	5402.79	3563.47	8419.27	16551.8	8426.79	8060.42	26447.6	5698.2
O14802	O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	9800.29	10667.6	6754.34		6209.73	7780.75		3285.86		1268.88		
O14817	O14817	TSN4_HUMAN	TSPAN4	Tetraspanin-4	21057.6	20576.6	20718.3	30613.7	25999.2	24605.6	5071.15	9282.77	13780.7	7459.01	3506.06	
O14818	O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	299011	255795	252399	179010	220173	194076	87652.5	77206.8	93190.9	29583.9	44172.9	45018.8
O14828	O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	115339	88157.8	106625	85666.5	84859.8	85239	32902	25599.7	22860	13094.2	10212.8	10419.9
O14841	O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	3522.09	4777.02	5721.25	5500.59	3397.93	3276.7	2080.22	1257.26	1331.25			
O14880	O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3	79047.4	74733.8	86220.8	81289.2	73658.6	67977	27786.3	30010.1	31439.3	13466.9	15390	14861
O14907	O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3		4751.63	2297.38		2199.47			5228.07				2377.56
O14908	O14908;Q8TF64	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	13178.9	15348	15989.9	10431	15565	14718.5	6706.76	3379.64	5721.4	2351.05	3856.44	
O14910	O14910	LIN7A_HUMAN	LIN7A	Protein lin-7 homolog A	4719.38	3957.08	3345.74	2601.38	1303.87	4727.31	1678.87		5164.22			
O14910;Q9NUP9	O14910;Q9NUP9	LIN7A_HUMAN;LIN7C_HUMAN	LIN7A;LIN7C	Protein lin-7 homolog A	73205.9	81078.5	51359.2	110560	106720	102418	22763.9	66544.9	29451.6	19882.5	24696	21546.4
O14920	O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	8256.34		5961.56		2867.29	2717.8		2446.09			3058.4	1961.77
O14925	O14925;Q5SRD1	TIM23_HUMAN	TIMM23	Mitochondrial import inner membrane translocase subunit Tim23	20482.6	25095.7	15519.3	16971.6	13555.9	9756.11	12946.8	13403	12450.1	13077.5	10948.3	7243.15
O14929	O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	25655.5	24330.4	30588	28036.7	30712	33120.3	13538	12710.4	14115.7	6778.5	2774.19	6944.97
O14936	O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	25903.5	24401.6	30853.2	24307.4	24277	26395.4	14951.1	12251.5	10027.3	2753.79	7051.15	6138.77
O14939	O14939	PLD2_HUMAN	PLD2	Phospholipase D2	5307.11	4764.25	1154.01	6199.73	4474.61	6383.76	1500.83	2532.44	3012.28			1048.7
O14949	O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	58092.9	46655.5	42106	36127.4	42481	34578.1	22826.2	22223	24267.1	11870.3	9504.55	16185.1
O14950;P19105	O14950;P19105;P24844	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	471123	492998	561464	499603	499886	556269	239158	192228	200284	93271.3	104754	86038.5
O14964	O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	31235.5	32839.9	31374.5	31496.4	30125.4	32753.7	32063.1	21392.5	17662.7	13469.6	15170.7	7320.5
O14967	O14967	CLGN_HUMAN	CLGN	Calmegin	7832.05	5424.71	7583.8	4976.27	7157.42	5853.37	6562.04	4753.83	2479.79		1888.72	1107.31
O14972	O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	1982.64	4647.82	2698.17		5211.85	3736.76	1443.96	3798.1				
O14974	O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	46521.3	51522.5	46698.2	53013	58913.4	46640.7	27027.9	23529.3	21549.7	9503.1	14250.6	12106.3
O14975	O14975	S27A2_HUMAN	SLC27A2	Very long-chain acyl-CoA synthetase	50090	57161.7	68152.3	49574.5	44212.8	46198.4	24703.5	15680.1	20973.1	12587.6	10958.3	11498.5
O14976	O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	13501.3	11216.8	8112.96	17491.9	14352.9	12062.8		15699.4	7777.09			11444.3
O14979	O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	557563	522639	433334	393676	512241	386741	223253	180491	174562	69824	90832.9	105159
O14979;Q14103	Q14103;O14979	HNRDL_HUMAN;HNRPD_HUMAN	HNRNPD;HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	212837	141942	253251	187185	115353	291970	106730	81131.6	112325	50783.9	63019.7	38395.1
O14979;Q99729	Q99729;O14979	HNRDL_HUMAN;ROAA_HUMAN	HNRNPAB;HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	640367						180740					
O14980	O14980	XPO1_HUMAN	XPO1	Exportin-1	87786.3	105526	92984	90098.6	91488	97520	49254	47598.3	41714.4	19920.1	23699.3	23181.1
