Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_A1.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_A2.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_A3.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_B1.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_B2.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_B3.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_C1.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_C2.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_C3.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_D1.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_D2.raw	C:\Users\MaxQuant\Desktop\Ema\Quan study\DIA_raw\20230918_MK_Volta_MVL_FAIMS_1CV_15cm_70min_1756_DIA_500ng_D3.raw
Q2FDW8	Q2FDW8	PTU3C_STAA3	glcB	PTS system glucoside-specific EIICBA component	184136	231117	236864	402673	275781	330381	448529	417809	555733	457460	446125	535630
Q2FDW8;Q2FK73	Q2FK73;Q2FDW8	PTG3C_STAA3;PTU3C_STAA3	glcB;ptsG	PTS system glucoside-specific EIICBA component	416788	920677	760784	598532	834532	763347	1.11302e+06	900827	1.01562e+06	905469	990130	757795
Q2FDY2	Q2FDY2	Y2462_STAA3	SAUSA300_2462	Putative NAD(P)H nitroreductase SAUSA300_2462	230013	181414	247589	415037	367129	443200	480283	473746	570827	409863	405261	444222
Q2FDY9	Q2FDY9	F16PC_STAA3	fbp	Fructose-1,6-bisphosphatase class 3	26999.9	20122.3	26921.3	45369.4	49932.9	39785.3	63443	52100.3	61545.3	54356	55774.8	57564.4
Q2FE03	Q2FE03	FNBA_STAA3	fnbA	Fibronectin-binding protein A	11343.7	8511.08	16764.8	30376	21205.3	32904.7	40848.4	26266.5	39037	9383.43	31058.2	51351.8
Q2FE05	Q2FE05	GTAB_STAA3	gtaB	UTP--glucose-1-phosphate uridylyltransferase	204272	229816	233736	448827	386044	413780	563532	503805	464294	547656	563552	469789
Q2FE11	Q2FE11	PGCA_STAA3	pgcA	Phosphoglucomutase	65576.4	59936.7	66407.6	130769	124511	135577	163361	178875	144656	150754	156382	134363
Q2FE14	Q2FE14	Y2430_STAA3	SAUSA300_2430	Uncharacterized lipoprotein SAUSA300_2430	17117.8	20338	18339	25554	27773.7	25150.7	31632.8	28858.7	31548.6	28774.8	24193.9	33291.8
Q2FE21	Q2FE21	Y2422_STAA3	SAUSA300_2422	Uncharacterized oxidoreductase SAUSA300_2422	504693	525541	540995	769045	736729	609498	941939	901223	961790	896323	853997	946461
Q2FE79	Q2FE79	SBI_STAA3	sbi	Immunoglobulin-binding protein Sbi	37925	35576.2	35659.5	67993.2	61960.5	64488.5	70450.8	78522.7	77975.4	82090.2	76930.8	72041.6
Q2FE81	Q2FE81	GPMA_STAA3	gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	624636	702297	688272	1.23027e+06	1.35012e+06	1.25834e+06	1.54455e+06	1.55439e+06	1.51071e+06	1.4205e+06	1.54287e+06	1.45767e+06
Q2FEA5	Q2FEA5	NREB_STAA3	nreB	Oxygen sensor histidine kinase NreB	47548.8	50119.1	53587.9	97939.5	93723.6	88204.6	107951	105799	108201	100022	105334	116055
Q2FEA6	Q2FEA6	NREC_STAA3	nreC	Oxygen regulatory protein NreC	86699.1	99875.1	104277	208249	173944	195449	246562	226846	204273	198800	204444	194299
Q2FEB0	Q2FEB0	NART_STAA3	narT	Probable nitrate transporter NarT	15324.4	3858	13951.6	25118.8	36011.1	18542.8	28245.2	37892.4	22390.9	15516.5	32960	32404.7
Q2FEB2	Q2FEB2	SARZ_STAA3	sarZ	HTH-type transcriptional regulator SarZ	226765	232252	248114	381360	398561	448722	506415	539048	449871	438554	491277	475712
Q2FEC4	Q2FEC4	FENR_STAA3	SAUSA300_2319	Ferredoxin--NADP reductase	42204.3	41909.2	40689.2	79856.1	63965.4	76410.1	100368	92900.4	85052.2	89340.3	69529.5	69238.5
Q2FEC8	Q2FEC8	Y2315_STAA3	SAUSA300_2315	Uncharacterized lipoprotein SAUSA300_2315	68485.2	96752.3	56579.8	118698	95735.6	78216.3	155862	124429	159472	172009	102943	130771
Q2FED3	Q2FED3	Y2310_STAA3	SAUSA300_2310	Uncharacterized HTH-type transcriptional regulator SAUSA300_2310	42588.7	43745.2	24417.1	46538.4	58030	41081.4	74212.7	98820.9	53351.2	96178	33172.5	58370
Q2FED4	Q2FED4	HSSS_STAA3	hssS	Heme sensor protein HssS	19066.5	14363.6	24814.1	21402.5	20567	39941.8	42211.4	45142.5	25340.1	20522.1	34568.1	25549.8
Q2FED5	Q2FED5	HSSR_STAA3	hssR	Heme response regulator HssR	16267.7	26084.6	20405.9	40543.5	42904.5	43609.8	50279.5	44209.1	49980	36131.7	43890.6	53263.9
Q2FEE1	Q2FEE1	TCAA_STAA3	tcaA	Membrane-associated protein TcaA	30193.7	35657.3	29594.5	26939.2	27276	39735.4	65682.5	44074.4	62008.3	43121.4	53576.4	38363
Q2FEF1	Q2FEF1	IDI2_STAA3	fni	Isopentenyl-diphosphate delta-isomerase	152719	156941	137294	276552	240926	227357	295570	317574	274983	295481	311473	269265
Q2FEF3	Q2FEF3	3MGH_STAA3	SAUSA300_2290	Putative 3-methyladenine DNA glycosylase	81496.7	75998.1	92681.1	129379	160202	142574	149505	158269	152152	126321	159328	143163
Q2FEG1	Q2FEG1	LYRA_STAA3	lyrA	Lysostaphin resistance protein A	31424.6	37041.9	39068.6	78463.4	57838.3	47460	89989	82516	77884.4	95305	85058.3	71192.7
Q2FEG2	Q2FEG2	HUTG_STAA3	hutG	Formimidoylglutamase	37658.6	28588	35288.3	77943.4	82523.9	82783.4	72563.6	102532	99553.8	96155.2	98439.5	96140.5
Q2FEG6	Q2FEG6	HUTI_STAA3	hutI	Imidazolonepropionase	7983.85	7904.56	4688.45	16398.7	14590.1	13405.4	19462.3	17201.2	15313.5	16593.8	14785.5	13183.1
Q2FEI5	Q2FEI5	FDHL_STAA3	SAUSA300_2258	Putative formate dehydrogenase SAUSA300_2258	294708	280994	322580	532713	504093	576890	662217	685313	723852	592582	673706	640913
Q2FEI9	Q2FEI9	Y2254_STAA3	SAUSA300_2254	Putative 2-hydroxyacid dehydrogenase SAUSA300_2254	313765	274696	269636	543243	510292	466005	626159	603273	550942	544224	540922	542353
Q2FEJ8	Q2FEJ8	SARR_STAA3	sarR	HTH-type transcriptional regulator SarR	242399	179058	109662	318193	359721	226535	356931	362439	249246	372965	234138	289180
Q2FEK0	Q2FEK0	UREG_STAA3	ureG	Urease accessory protein UreG	41042.6	62067.6	47261.5	82287	73320	71341.4	90334	101187	86634.4	87291.7	82966.2	95067.4
Q2FEK2	Q2FEK2	UREE_STAA3	ureE	Urease accessory protein UreE	127194	165905	131969	162156	249754	208932	344496	295205	349172	323792	353863	282929
Q2FEK3	Q2FEK3	URE1_STAA3	ureC	Urease subunit alpha	28531.9	36074.2	37321.7	66491.8	59650.3	71214	80566.8	75911	86795.2	74672.7	82024.5	70136.5
Q2FEK4	Q2FEK4	URE2_STAA3	ureB	Urease subunit beta	23128.5	23830.9	24854.9	26060.6	42049.1	44451.6	38524.8	40407.3	33806.8	42877.8	41563.9	31715.1
Q2FEK5	Q2FEK5	URE3_STAA3	ureA	Urease subunit gamma	68059.5	76499.1	70576.4	112067	150065	172873	143982	120933	123554	175308	112704	154538
Q2FEL2	Q2FEL2	FDHD_STAA3	fdhD	Sulfur carrier protein FdhD	43200.8	51791.8	44981.9	76258.5	77743.9	85815.1	49908.5	107395	106727	84561.1	84821.1	84334.6
Q2FEL8	Q2FEL8	MOAC_STAA3	moaC	Cyclic pyranopterin monophosphate synthase	8795.52	15525.5	16254.7	17651.5	12553.3	22464.7	13024.7	25609.9	30625.7	37945.1	29107.5	27540.8
Q2FEM3	Q2FEM3	MOBA_STAA3	mobA	Probable molybdenum cofactor guanylyltransferase	12017	9184.41	12535.6	23511.8	32297.2	18008.1	30444.5	32406.2	26086.5	27192.6	22425.8	23105.6
Q2FEM4	Q2FEM4	MOAA_STAA3	moaA	GTP 3',8-cyclase	52539.9	51702.9	53151.5	83155.2	103093	95551.5	111196	89463.9	104719	92884	112826	99349.4
Q2FEM9	Q2FEM9	FEMX_STAA3	femX	Lipid II:glycine glycyltransferase	505309	496171	556428	1.02564e+06	903287	970664	1.16674e+06	1.09869e+06	1.15223e+06	1.05481e+06	1.02723e+06	1.13448e+06
Q2FEN5	Q2FEN5	TOP3_STAA3	topB	DNA topoisomerase 3	110776	103601	108636	190630	172369	188606	224353	214073	246955	186327	196992	218038
Q2FEN8	Q2FEN8	RS10_STAA3	rpsJ	30S ribosomal protein S10	1.00847e+07	1.09225e+07	9.40479e+06	1.80277e+07	2.05359e+07	1.88052e+07	2.34113e+07	2.3058e+07	2.4743e+07	2.20011e+07	2.32748e+07	2.2861e+07
Q2FEN9	Q2FEN9	RL3_STAA3	rplC	50S ribosomal protein L3	3.20216e+06	3.98364e+06	3.32096e+06	6.77515e+06	7.84788e+06	6.54194e+06	7.52327e+06	1.0211e+07	9.30496e+06	8.60938e+06	8.66755e+06	9.09413e+06
Q2FEP0	Q2FEP0	RL4_STAA3	rplD	50S ribosomal protein L4	2.15098e+07	2.36762e+07	2.33453e+07	4.55927e+07	4.59559e+07	4.50936e+07	4.9359e+07	4.6517e+07	5.49689e+07	4.97584e+07	4.86738e+07	5.19343e+07
Q2FEP1	Q2FEP1	RL23_STAA3	rplW	50S ribosomal protein L23	6.70098e+06	5.65142e+06	6.4389e+06	1.01647e+07	1.16174e+07	1.14297e+07	1.38211e+07	1.5766e+07	1.40138e+07	1.25403e+07	1.33938e+07	1.31198e+07
Q2FEP2	Q2FEP2	RL2_STAA3	rplB	50S ribosomal protein L2	1.67515e+07	1.63395e+07	1.56678e+07	3.15718e+07	3.04931e+07	3.01008e+07	4.25416e+07	3.58896e+07	4.07791e+07	4.07823e+07	3.56234e+07	3.62299e+07
Q2FEP3	Q2FEP3	RS19_STAA3	rpsS	30S ribosomal protein S19	3.95493e+06	5.17202e+06	4.49013e+06	7.95933e+06	9.36385e+06	8.41807e+06	1.07933e+07	1.15165e+07	1.05323e+07	9.79036e+06	1.02161e+07	1.0412e+07
Q2FEP4	Q2FEP4	RL22_STAA3	rplV	50S ribosomal protein L22	4.18016e+06	3.69937e+06	3.56998e+06	9.02904e+06	8.50352e+06	8.27814e+06	1.22413e+07	1.04389e+07	1.01612e+07	8.9219e+06	1.04732e+07	8.18287e+06
Q2FEP5	Q2FEP5	RS3_STAA3	rpsC	30S ribosomal protein S3	4.21176e+06	4.69074e+06	4.63705e+06	7.46117e+06	8.81515e+06	7.93618e+06	8.64035e+06	9.34677e+06	8.88638e+06	9.76061e+06	1.03824e+07	8.79722e+06
Q2FEP6	Q2FEP6	RL16_STAA3	rplP	50S ribosomal protein L16	2.124e+06	2.17072e+06	2.20467e+06	4.01577e+06	3.95424e+06	3.84288e+06	4.7366e+06	5.23654e+06	4.98949e+06	4.60964e+06	4.5791e+06	4.90817e+06
Q2FEP8	Q2FEP8	RS17_STAA3	rpsQ	30S ribosomal protein S17	3.45784e+06	4.28819e+06	4.51809e+06	7.00986e+06	7.81522e+06	7.02727e+06	8.65474e+06	7.4403e+06	8.78742e+06	8.93252e+06	7.79427e+06	1.10345e+07
Q2FEP9	Q2FEP9	RL14_STAA3	rplN	50S ribosomal protein L14	3.92053e+06	4.81239e+06	4.45008e+06	7.68457e+06	8.20975e+06	8.81402e+06	1.02998e+07	9.51617e+06	9.57405e+06	1.02957e+07	9.19502e+06	1.05935e+07
Q2FEQ0	Q2FEQ0	RL24_STAA3	rplX	50S ribosomal protein L24	5.38375e+06	5.49454e+06	4.92856e+06	1.03821e+07	1.14225e+07	1.15257e+07	1.38607e+07	1.31689e+07	1.29227e+07	1.44135e+07	1.26793e+07	1.12699e+07
Q2FEQ1	Q2FEQ1	RL5_STAA3	rplE	50S ribosomal protein L5	2.35286e+06	2.43792e+06	2.21257e+06	3.92131e+06	3.81054e+06	3.65947e+06	4.74629e+06	4.39241e+06	5.24332e+06	4.49873e+06	4.60181e+06	4.44914e+06
Q2FEQ2	Q2FEQ2	RS14Z_STAA3	rpsZ	30S ribosomal protein S14 type Z	249779	289314	296572	506104	460120	490492	645805	699544	578576	626588	726128	632054
Q2FEQ3	Q2FEQ3	RS8_STAA3	rpsH	30S ribosomal protein S8	2.03046e+06	2.34611e+06	2.43996e+06	3.88243e+06	4.01213e+06	4.39006e+06	5.04308e+06	4.97712e+06	5.26034e+06	4.99725e+06	5.42994e+06	5.03943e+06
Q2FEQ4	Q2FEQ4	RL6_STAA3	rplF	50S ribosomal protein L6	1.10291e+07	1.10815e+07	1.12728e+07	2.14627e+07	2.14177e+07	2.12747e+07	2.66685e+07	2.53265e+07	2.78298e+07	2.51939e+07	2.73724e+07	2.6388e+07
Q2FEQ5	Q2FEQ5	RL18_STAA3	rplR	50S ribosomal protein L18	1.09779e+06	1.30052e+06	1.23307e+06	2.23884e+06	1.92299e+06	2.02515e+06	3.18369e+06	3.0514e+06	3.30588e+06	2.63606e+06	2.70826e+06	2.70881e+06
Q2FEQ6	Q2FEQ6	RS5_STAA3	rpsE	30S ribosomal protein S5	1.22744e+07	1.45115e+07	1.0883e+07	1.60932e+07	1.8376e+07	2.18571e+07	2.47271e+07	2.45206e+07	2.89304e+07	2.24535e+07	2.12314e+07	2.71143e+07
Q2FEQ7	Q2FEQ7	RL30_STAA3	rpmD	50S ribosomal protein L30	535453	442094	462620	737085	660023	803790	1.1834e+06	992450	1.01211e+06	1.16067e+06	1.11548e+06	1.22231e+06
Q2FEQ8	Q2FEQ8	RL15_STAA3	rplO	50S ribosomal protein L15	3.44825e+06	3.54845e+06	3.40601e+06	5.81635e+06	5.28743e+06	6.36964e+06	7.16023e+06	5.83354e+06	7.29393e+06	7.39029e+06	6.89883e+06	7.07345e+06
Q2FER1	Q2FER1	IF1_STAA3	infA	Translation initiation factor IF-1	3.57887e+06	3.29986e+06	3.72726e+06	7.98914e+06	6.46554e+06	7.44564e+06	8.5852e+06	7.28979e+06	8.0597e+06	9.4197e+06	7.82233e+06	8.83763e+06
Q2FER2	Q2FER2	RL36_STAA3	rpmJ	50S ribosomal protein L36	4.38166e+06	3.41508e+06	5.23477e+06	9.07156e+06	1.59951e+07	7.2192e+06	1.31818e+07	2.10605e+07	1.42971e+07	1.62871e+07	1.59827e+07	1.39533e+07
Q2FER3	Q2FER3	RS13_STAA3	rpsM	30S ribosomal protein S13	7.69984e+06	8.21308e+06	6.4942e+06	1.3624e+07	1.43328e+07	1.47349e+07	1.39797e+07	1.82494e+07	1.85665e+07	1.56479e+07	1.65231e+07	1.6423e+07
Q2FER4	Q2FER4	RS11_STAA3	rpsK	30S ribosomal protein S11	1.65383e+06	1.62736e+06	1.45098e+06	3.08599e+06	4.32956e+06	3.47871e+06	4.24936e+06	4.73772e+06	4.32469e+06	4.70018e+06	3.56669e+06	3.67129e+06
Q2FER5	Q2FER5	RPOA_STAA3	rpoA	DNA-directed RNA polymerase subunit alpha	1.24314e+06	1.27696e+06	1.32915e+06	2.30446e+06	2.16307e+06	2.54745e+06	2.76406e+06	2.46881e+06	2.5644e+06	2.55086e+06	2.89841e+06	2.8609e+06
Q2FER6	Q2FER6	RL17_STAA3	rplQ	50S ribosomal protein L17	1.68992e+07	1.57574e+07	1.68979e+07	3.06636e+07	2.84104e+07	3.68194e+07	4.01444e+07	3.68756e+07	3.63712e+07	3.2765e+07	3.878e+07	3.57414e+07
Q2FER7	Q2FER7	ECFA1_STAA3	ecfA1	Energy-coupling factor transporter ATP-binding protein EcfA1	57595.2	45934.3	52849.4	95737.9	101616	97630.9	100987	127467	109522	113820	94443.4	93996.9
Q2FER8	Q2FER8	ECFA2_STAA3	ecfA2	Energy-coupling factor transporter ATP-binding protein EcfA2	38948.4	38988.6	32143.8	73523	78690.8	60535.1	79762.5	105141	72564.5	87280	83125.9	84504
Q2FES0	Q2FES0	TRUA_STAA3	truA	tRNA pseudouridine synthase A	25813.2	44269.6	40069.7	92267.3	63932.9	88349.2	105759	108750	110926	75749.1	105572	58020.4
Q2FES1	Q2FES1	RL13_STAA3	rplM	50S ribosomal protein L13	6.49536e+06	6.38527e+06	5.49648e+06	1.20069e+07	1.02261e+07	1.05464e+07	1.40348e+07	1.35135e+07	1.3155e+07	1.26091e+07	1.16892e+07	1.27677e+07
Q2FES2	Q2FES2	RS9_STAA3	rpsI	30S ribosomal protein S9	8.29043e+06	8.36507e+06	9.54638e+06	1.63164e+07	1.68278e+07	1.92052e+07	2.13385e+07	2.17132e+07	2.40369e+07	1.75054e+07	2.15814e+07	1.95369e+07
Q2FES9	Q2FES9	Y2163_STAA3	SAUSA300_2163	Uncharacterized hydrolase SAUSA300_2163	19573.9	33053.6	27698.5	68149	60493	49541.9	54709.3	65195	63623.3	74449.2	71995.2	65651.2
Q2FET8	Q2FET8	LACB_STAA3	lacB	Galactose-6-phosphate isomerase subunit LacB	4733.1	1975.64	4777.96		10558.8	7664.37	7572.07	10230.6	13283.5		4002.82	3507.81
Q2FEU3	Q2FEU3	LACG_STAA3	lacG	6-phospho-beta-galactosidase	7210.99	7227.55	8204.09	17450.7	19227	14164.2	19927	14449.5	19537.3	19026.3	16075.3	20577.8
Q2FEV0	Q2FEV0	ASP23_STAA3	asp23	Alkaline shock protein 23	2.93376e+06	4.99804e+06	3.86441e+06	7.58988e+06	7.27352e+06	7.65052e+06	1.06461e+07	1.12957e+07	1.00309e+07	1.04191e+07	8.51457e+06	1.05939e+07
Q2FEV9	Q2FEV9	Y2132_STAA3	SAUSA300_2132	UPF0457 protein SAUSA300_2132	15196.8	99398.1	69142	68776.6	136347	65859.7	138486	168485	97959.5	217220	252403	97834.2
Q2FEW1	Q2FEW1	URTF_STAA3	SAUSA300_2130	Probable uridylyltransferase SAUSA300_2130	278587	258985	242079	402809	422088	444045	569166	437309	543070	534954	464776	473249
Q2FEX1	Q2FEX1	GLMM_STAA3	glmM	Phosphoglucosamine mutase	1.27065e+06	1.22922e+06	1.22659e+06	2.09236e+06	2.30543e+06	2.32919e+06	2.71146e+06	2.83798e+06	2.98628e+06	2.68121e+06	2.72794e+06	3.0139e+06
Q2FEX4	Q2FEX4	MTLD_STAA3	mtlD	Mannitol-1-phosphate 5-dehydrogenase	101155	114436	102672	200384	229535	194644	248311	227156	256874	206699	222744	219774
Q2FEZ3	Q2FEZ3	PDP_STAA3	pdp	Pyrimidine-nucleoside phosphorylase	40295.7	33109.8	39042.9	66538.6	73435.7	74940.1	69071.8	86958	81527	69390.1	81742.7	86787.8
Q2FEZ4	Q2FEZ4	LUXS_STAA3	luxS	S-ribosylhomocysteine lyase	652325	735185	710852	921193	1.26202e+06	1.21141e+06	1.29396e+06	1.24389e+06	1.42504e+06	1.34273e+06	1.1421e+06	1.15235e+06
Q2FEZ8	Q2FEZ8	COAW_STAA3	coaW	Type II pantothenate kinase	40197.8	46729.7	37814.9	95258.3	95855.5	114418	104020	101080	121612	91226.9	112718	111201
Q2FF00	Q2FF00	RPOE_STAA3	rpoE	Probable DNA-directed RNA polymerase subunit delta	26051.6	12336.5	12365.5	26648.8	39410	32717.5	33945	42220.9	47582.5	26987.9	21424	47215.3
Q2FF01	Q2FF01	PYRG_STAA3	pyrG	CTP synthase	1.60273e+06	1.53666e+06	1.7404e+06	3.26004e+06	3.20608e+06	3.29431e+06	3.81496e+06	3.71e+06	4.03259e+06	3.88669e+06	3.58141e+06	3.2726e+06
Q2FF06	Q2FF06	ALDH_STAA3	SAUSA300_2076	Putative aldehyde dehydrogenase	272945	326310	244828	553102	539591	404416	643736	543610	581555	547914	571993	569202
Q2FF06;Q3SY69	Q2FF06;O75891;Q3SY69	AL1L2_HUMAN;ALDH_STAA3	ALDH1L2;SAUSA300_2076	Putative aldehyde dehydrogenase	13099.6	7159.32	9159.69	16147.8		10530.2	24654.4	12672	19125.2	28855.4	20302	12729.4
Q2FF08	Q2FF08	RL31B_STAA3	rpmE2	50S ribosomal protein L31 type B	3.75343e+06	4.79678e+06	4.37147e+06	7.54283e+06	7.6994e+06	8.20922e+06	1.03826e+07	1.1478e+07	1.01111e+07	8.19954e+06	9.44061e+06	1.07919e+07
Q2FF09	Q2FF09	KITH_STAA3	tdk	Thymidine kinase	109158	129801	131368	203484	203520	210091	250522	260942	289453	256686	235528	256687
Q2FF10	Q2FF10	RF1_STAA3	prfA	Peptide chain release factor 1	425008	409770	435767	765916	652103	758199	1.06764e+06	954208	1.08496e+06	929037	930758	960708
Q2FF13	Q2FF13	PTPB_STAA3	ptpB	Low molecular weight protein-tyrosine-phosphatase PtpB	35133	39529.3	42186.1	51503	45650.8	86815	69229.4	73016.4	122831	86417.6	39195.4	132652
Q2FF14	Q2FF14	Y2068_STAA3	SAUSA300_2068	UPF0340 protein SAUSA300_2068	26362.8	32522.9	22963.9	32505	52780	49456.7	47525.2	59894.3	65220.3	55774.7	44968.6	46620.6
Q2FF15	Q2FF15	GLYA_STAA3	glyA	Serine hydroxymethyltransferase	1.01517e+06	864093	847864	1.5102e+06	1.60053e+06	1.42932e+06	2.13103e+06	1.91747e+06	1.83563e+06	2.04062e+06	1.76699e+06	1.4842e+06
Q2FF16	Q2FF16	UPP_STAA3	upp	Uracil phosphoribosyltransferase	1.6129e+06	1.70956e+06	1.56599e+06	3.28521e+06	3.73886e+06	3.24563e+06	4.2046e+06	4.16642e+06	3.96069e+06	4.72792e+06	4.0206e+06	3.7896e+06
Q2FF20	Q2FF20	ATPF_STAA3	atpF	ATP synthase subunit b	226556	258220	225066	493325	473247	440679	638558	678997	596710	570948	506317	522471
Q2FF21	Q2FF21	ATPD_STAA3	atpH	ATP synthase subunit delta	530101	605846	462026	960285	1.0211e+06	1.02422e+06	1.1996e+06	1.24862e+06	1.20033e+06	1.15607e+06	1.15832e+06	1.12484e+06
Q2FF22	Q2FF22	ATPA_STAA3	atpA	ATP synthase subunit alpha	5.47443e+06	5.72168e+06	5.95442e+06	1.11539e+07	1.16122e+07	1.19704e+07	1.27932e+07	1.24623e+07	1.5678e+07	1.21052e+07	1.34305e+07	1.21859e+07
Q2FF24	Q2FF24	ATPB_STAA3	atpD	ATP synthase subunit beta	3.55245e+06	3.83425e+06	3.30595e+06	5.76629e+06	6.25872e+06	5.90648e+06	6.4983e+06	7.25231e+06	7.22751e+06	7.4122e+06	5.65272e+06	6.97933e+06
Q2FF25	Q2FF25	ATPE_STAA3	atpC	ATP synthase epsilon chain	821570	920473	779301	1.02381e+06	1.24437e+06	1.81794e+06	1.51044e+06	1.92099e+06	2.0809e+06	1.52622e+06	1.58579e+06	2.1902e+06
Q2FF28	Q2FF28	FABZ_STAA3	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	1.11129e+06	1.05995e+06	720340	1.70037e+06	1.60104e+06	1.71499e+06	1.73602e+06	2.48859e+06	1.29549e+06	2.12761e+06	1.44722e+06	1.79273e+06
Q2FF32	Q2FF32	TENA_STAA3	tenA	Aminopyrimidine aminohydrolase	18652.4		17309.3	25984.2	21153.9	24677.9	15847.1	10889.1	16841	6496.28	9417.24	5723.78
Q2FF34	Q2FF34	THIM_STAA3	thiM	Hydroxyethylthiazole kinase	8945.09	11236.4	2161.77	18173.4	23789.8	17904.7	18418	20611.4	27172.6	26199.2	23402.6	18449.7
Q2FF35	Q2FF35	THIE_STAA3	thiE	Thiamine-phosphate synthase	16523	22631.1	9646.37	54408.3	47464.5	22920	55718.9	46251.9	53004.3	48504.9	43803.7	38314.5
Q2FF36	Q2FF36	YIDC_STAA3	yidC	Membrane protein insertase YidC	211701	210331	263286	415380	460918	401247	489039	511440	522541	408764	546758	555978
Q2FF43	Q2FF43	DDL_STAA3	ddl	D-alanine--D-alanine ligase	652247	612771	678986	1.35525e+06	1.24239e+06	1.25591e+06	1.52452e+06	1.52881e+06	1.56909e+06	1.49453e+06	1.47233e+06	1.48443e+06
Q2FF45	Q2FF45	CSHA_STAA3	cshA	DEAD-box ATP-dependent RNA helicase CshA	1.74858e+06	1.83791e+06	1.80972e+06	3.46508e+06	3.6784e+06	3.33273e+06	4.24672e+06	4.09731e+06	4.36335e+06	3.88806e+06	3.80515e+06	3.73326e+06
Q2FF54	Q2FF54	ACPS_STAA3	acpS	Holo-[acyl-carrier-protein] synthase	11800.3	14699.5	12768.8	25603	19648.3	41866.7	30091.5	31530.8	29117.6	36360	43043.1	38580.7
Q2FF55	Q2FF55	ALR_STAA3	alr	Alanine racemase	248836	309146	225109	361538	385236	422973	463338	380496	440799	447022	441102	550392
Q2FF56	Q2FF56	MAZF_STAA3	mazF	Endoribonuclease MazF	135061	144149	195263	404687	400701	322663	335955	437281	314555	372537	446798	377892
Q2FF59	Q2FF59	RSBW_STAA3	rsbW	Serine-protein kinase RsbW	487968	481413	555529	1.09885e+06	947227	899525	1.3543e+06	1.23255e+06	1.16752e+06	1.28918e+06	1.28435e+06	1.27552e+06
Q2FF62	Q2FF62	SPRTL_STAA3	SAUSA300_2020	Protein SprT-like	6419.3	1804.95		14217.6	14977.6	14402.2	11199.4	12235.8	8683.26	18205.8	17706.6	13569.1
Q2FF63	Q2FF63	ILVA_STAA3	ilvA	L-threonine dehydratase biosynthetic IlvA					6111.36	6992.3		7340.87	9366.72		5937.32	3618.28
Q2FF68	Q2FF68	ILVC_STAA3	ilvC	Ketol-acid reductoisomerase (NADP(+))	26490.2	28717	27548.9	38894.6	46655.9	51927.1	55252.7	53786.2	52577.9	44809.3	49662.4	54209.3
Q2FF71	Q2FF71	ILVD_STAA3	ilvD	Dihydroxy-acid dehydratase	9253.34	8122.23	7831.35	14705.3	14987.7	10793.1	19668	14316.9	20613.5	17565.2	14903.4	18020.5
Q2FF75	Q2FF75	TSAD_STAA3	tsaD	tRNA N6-adenosine threonylcarbamoyltransferase	57407.2	55851.9	52772.9	104875	100742	108901	127532	124777	138495	130824	130601	118303
Q2FF78	Q2FF78	REX_STAA3	rex	Redox-sensing transcriptional repressor Rex	136387	116477	142725	248579	198134	225229	303976	252466	294125	261710	279294	278182
Q2FF88	Q2FF88	AGRB_STAA3	agrB	Accessory gene regulator protein B	2589.35	4897.47	5773.81	19172.2	16678.6	13354.6	27942.3	35189.8	26656.7	29738.3	24009.2	18732.1
